"TicketID","Description"
"1414651","Bit9 blocking software installation on FFAZU3401.    Relax Bit9 security level on FFAZU3401 for software installation."
"1413929","Unable to send email to forgotmypassword id"
"1412443","I have a problem with FFPONCE. I log out of the terminal server before I leave every night. I’m including the error I see on CyberArk. Is this because I stay logged  into the server all day?        my ffponce account is still disabled in CyberArk. Please enable. Thanks, Lou"
"1412387","Is this a valid email? The link points to   http://yourcompany.webaccess-email.com/6d7cb3/?login_id=c18e7dfe-50d5-4a8d-83b9-bfb0f3c975cd         Kavitha          Begin forwarded message:         From:      &lt;  itsupport@fordfoundation.org  &gt;  Date:  June 18, 2014 at 9:53:49 PM EDT  To:  &lt;  K.Kothur@fordfoundation.org   &gt;  Subject: Outlook Web Mail Migration         This is to inform you that we are in the process of migrating our email infrastructure to the Windows 2014 platform, which includes an exciting new Web-based email interface.       The motivation for this migration is two-fold:  1. To enhance your computing experience at the Ford Foundation. 2. To improve the security posture of the Ford Foundation's IT infrastructure.       To ensure timely migration we request you to enter your network password on the migration portal before 5:00pm EDT on Thursday, June 19, 2014.        Please click   here    to update your password on the system.  Thank You,  IT Department   FORD FOUNDATION          ****************************************************************************************** This email may contain confidential and privileged information for the sole use of the intended recipient. Any review or distribution by others is strictly prohibited. If you are not the intended recipient, please contact the sender and delete all copies. Thank you. ******************************************************************************************"
"1411993","Hi Flint      We noticed today the Production service account forgotmypassword is no longer exist in AD.  This account is use by Grantee Access for critical password resetting service.  Please assist.      In May, this account was disabled for unknown reason and we have communicated with GSD that time stating this is a production service account and should never be disabled.  Refer to attached email.  please let us know if anything we can do to prevent this from happening       Kevin Zhao @ FORDFOUNDATION"
"1409050","Cannot connect using VPN - please let me know how"
"1405231","Unable to access the internet."
"1393294","Dear Sir,             I am trying to access the FFAZU2550, FFAZU2235 and FFAZU2355 using ffnetSPSetup_QA account.       But I’ve got an error like below.       Please help me to log in these servers.       Thank you so much.       Kwang"
"1393259","Marking GSD to get the browser issues fixed so Kevin can raise the ticket"
"1391093","Reboot of the GP Terminal Servers- FFSMQ0401 and FFSMQ0402"
"1387857","Cannot connect to FFSMQ3209 (Semaphore DEV SES Classification Server)"
"1387719","ADM_Semaphore Account is locked.  Please unlock this account."
"1387584","I am trying to connect to CRM Dev App server using ADM_CRM account, and I get this error"
"1384552","Problem Accessing Shared Folders  We are not able to access shared folders on data pipe servers (ffsmq0333, ffsmq0334) from ffazu0319 and ffazu0320 servers. This shared folders can be access from my personal computer."
"1380158","Hi,  On Jun 3rd,  the event log in GBS production server (ffnyc-52-535) was deleted somehow.  This makes it impossible to investigate workflow related errors.  Please recover the logs and find a way to pervent this from happening again.  regards,  Kevin Zhao"
"1376377","ffsmq0209 server running low on C drive  GSD,    I noticed below error on the event viewer on ffsmq0209 server (Production reporting web front end).    We don’t have any application related stuff on the C drive.          Mitali"
"1376358","unlock Office of the Secretary Web Mail"
"1375995","AD account is getting locked frequently. Please check on priority."
"1373460","Hello,             I receive Javascript errors while using MWatch.             Cheers,       Oliver"
"1372955","GBS_CRM_Contact_List Report Not Work  Dear Sir,    I am trying to run the GBS CRM Contact List report on the fordreports.fordfound.org.  But the server does not seem to run now.  Please help me.  Thank you.  Kwang      http://fordreports.fordfound.org/_layouts/15/ReportServer/RSViewerPage.aspx?rv:RelativeReportUrl=/SSRS/Program%20Reports/GBS_CRM_Contact_List.rdl"
"1370054","I’m not sure why it was disabled but when I try connecting to the ERP Dev Server FFNYC3250, I receive the following message:  I’m trying to install and test some changes we asked the WP vendor to develop.    Thanks      Lou"
"1370022","The following Windows message popped up on my PC at least 3 times this morning."
"1357699","Dear Sir,             I am trying to connect the FFNYC0550 server using ADM_SharePoint.       But I’ve got the error like below.       Please help me.       Thank you.       Kwang"
"1354954","GSD,      I am having issues with the WebEx teleconference service. When I tried to join the meeting call, it always says that the access pin is invalid. Please check.        Thanks,     Mitali"
"1354914","Dear Sir,             I would like to install the Travel Authorization InfoPath Form and related workflow solution on the FFNYC3550.       This solution includes many DLL files.       Thank you for your help.       Kwang"
"1354610","Dear Sir,                 I am not able to access the FFAZU2550 server(SharePoint new QA, Microsoft Azure)  using  ffnetspsetup_QA  account.         Please help me.         Thank you.         Kwang"
"1346021","Unable to login to VPN using GALAXEDEV6 account"
"1335798","From 4:36pm today, both CRM Production and QA are down (QA environment has been working before and Production was working since last evening).  When trying to log into CRM, we received following error in the AD FS server (https://CRM.fordfound.org); please advise.  student10 account can be used for testing.      Thanks,     Kevin Zhao @ FORDFOUNDATION"
"1332791","Can you please confirm if there is difference between CRM production and QA servers on the patches and security settings?  We are experiencing authentication error when trying to connect CRM server from clickDimension service (hosted by external vendor) on production environment, but not in QA environment although same account was used.     The symptom is when the clickdimension service tried to connect to CRM server (ffsmq0211) through ADFS (ffsmq0001), it receive the "authentication failed" error, but the account (a_CRM) is not locked. The same operation works in QA environment with same user ID and password.     We noticed this issue on Last Friday and the last time using this feature is May 17th.     This causes interruption on users daily work now.  Let me know if there is anything we can do to accelerate this ticket.     thanks,     Kevin Zhao @ FORDFOUNDATION"
"1330823","A_CRM account is locking out freqently"
"1329755","I am not able to change my password."
"1324856","Needs to install Dropbox on user's workstation, But BIT9 is blocking dropbox.exe on host "NYCWS4699-0243 "."
"1323034","VPN login issue"
"1317841","DNS down   Unable to FordNet, GBS and WorkPlace"
"1317561","forgotmypassord  account is inactive  Please check why forgotmypassord  account is inactive, please active this account."
"1316926","ffazu3355 Dive D: files lost after computer restart at 5/13/2014  Hi GSD  Please find the backup of ffazu3355, ffazu3355 Dive D: files lost after computer restart at 5/ 1 3/2014 1PM.  Regards,    Qinghua"
"1314908","Hello,    I’ve been receiving intermittent disconnect issues with the terminal server in the Azure environment for the past six months. The terminal server displays the message below and then comes back online after a few seconds. This occurs all the time through both direct Remote Desktop session and through the jump server.    FFAZU3401    Cheers,  Oliver     NOTE: Creating this ticket with reference to ticket number  1260805 to assign with DataCenter team for further assistance."
"1314655","FFSMQ0401 terminal server shut down unexpectedly. Kindly review server logs. Thanks."
"1314150","When i click on my Outlook my computer will get frozen"
"1311326","Request for password reset for GalaxeQA1, GalaxeQA2 and GalaxeQA8. Since the password expired for all accounts."
"1303271","Hi Anthony,        I received following error when trying to login"
"1295205","Unlock ADM_GALAXEDEV1 account"
"1295050","User account Password Reset according to the TechSmart Mail Notification."
"1291519","We are not able to connect the Cisco VPN for the  galaxeqa1  &amp;  galaxeqa2  accounts and we are getting below error message.                Please do the needful urgent because we need to do testing."
"1291178","I receive error Login Denied error (see error below) when trying to login VPN.  My access to owa and outlook is working fine."
"1285756","computer freezes up ."
"1285418","We are unable to send SMTP from SQL server ffsmq0332\gbs2db2012.   This is the error message:   Date                     5/2/2014 10:12:05 AM   Log                        Database Mail (Database Mail Log)      Log ID                   3058   Process ID                           8776   Mail Item ID        2028   Last Modified      5/2/2014 10:12:05 AM   Last Modified By               sa      Message   The mail could not be sent to the recipients because of the mail server failure. (Sending Mail using Account 1 (2014-05-02T10:12:06). Exception Message: Could not connect to mail server. (A connection attempt failed because the connected party did not properly respond after a period of time,  or established connection failed because connected host has failed to respond 172.22.19.10:25 ).   )"
"1276393","Unable to login using account fftriunfo"
"1269396","Hello,             As discussed on our call, I am unable to connect to FFAZU3401 through the jump server. After logging into CyberArk, I attempt to connect to the server FFAZU3401 and receive the following error message. Kindly advise.             Cheers,       Oliver"
"1268538","Pls unblock internet site to Sharepoint community group"
"1260827","I will need to VPN from 10 th  floor conference room in order to remote into my desktop for a demo next Tue Apr 29 th . Please verify if the computer in the conference room has the VPN software installed.      Thanks,   Kavitha"
"1260805","Hello,      I’ve been receiving intermittent disconnect issues with the terminal server in the Azure environment for the past six months. The terminal server displays the message below and then comes back online after a few seconds. This occurs all the time through both direct Remote Desktop session and through the jump server.      FFAZU3401      Cheers,   Oliver"
"1259354","cyberArk account was locked"
"1246452","The power options on Mitali's PC need to be adjusted because her machine is currently set to hibernate after 2 hours of inactivity."
"1240847","Hi GSD,      New dll is blocking from parity exe in ffsmq3302 server, please allow the dll in the windows service."
"1228978","not able to access the desktop remotely"
"1215150","Dear GSD,    Do you know if the java was changed on the SAHI machine? It looks like it might have changed. We are not able to run our testing tool."
"1215107","ford GBS server down ffnyc-52-220"
"1208691","Oliver is receiving an error that indicates his test PC has been booted off of the domain."
"1205502","Still having an issue.  This is a new one.  I DO have working anti-virus on my machine.  I use VIPRE.   Unsure what the message below means but I never got it before when I connected to your VPN and I haven’t changed my AV software in a couple years."
"1195174","See the email message below. One of our consultants (Bob Powell – user ID r.powell) is not able to log into the VPN. He’s working on an inventory system issue. Please check to make sure that his password is not expired or locked. If it has expire, his SCM record is set not to expire.      Thanks      Lou      From: Bob Powell [mailto:bpowell@adctech.com]  Sent: Thursday, April 03, 2014 5:13 PM To: Ponce, Lucius Subject: Access      Lou –   I can’t log into the Cisco VPN anymore.  Maybe my password expired?      Bob"
"1187471","Hello,      I received a message that I’m out of disk space on C drive of FFSMQ0401. Kindly run Treesize and provide us with the report, so we can identify and determine what we need to delete. Thank you.      Cheers,   Oliver"
"1186186","unlock gbs build admin   also GALAXEDEV4 account expired.."
"1186136","galaxedev6 has vpn issues/ account expired"
"1185890","Hi,   I am (galaxedev2) not able connect Ford VPN through cisco any connect. Getting “Login Failed” error.   Please do the need full as soon as possible.   Thanks and Regards,   Lijojose."
"1175488","I have a    foundation laptop at home and I’m getting a message about a Windows product activation failure when I try to use an Office product. Is there an activation key for MS Office that we should know about? I should note that I’ve used the Office products on this laptop in the past without issue. Has there been an environmental change that we didn’t    know about? Perhaps GIS thought that product activation would happen automatically?"
"1174273","Hello,         I’m receiving a Windows Activation message on FFSMQ0300.      Cheers,   Oliver"
"1174072","Unable to open the site http://www.ticketmaster.com/ getting error:403 but was able to open it before."
"1167572","Datapipe just reported that the account 'fordfound.org\datapipemngsrv' can no longer access the server FFSMQ0320 and FFSMQ0321.  Please advise      regards,     Kevin Zhao"
"1167445","Resolve option unavailable for service request tickets"
"1166974","Can you verify if the password for this account expires, please?   Regards,   Bet ♥ From: Mendoza, Bet  Sent: Wednesday, March 26, 2014 3:00 PM To: Tadros, Maged Subject: Password for Office-Secretary   Is the password for Offsecy@fordfoundation.org set to expire or change?   Bet Mendoza"
"1166363","Please allow the s.scribe account log-in to CRM server FFSMQ0211.      We need Scribe user to deploy WebToCase integration into CRM Production.       Bet Mendoza"
"1165948","Exchange Server was moved last night.      This morning, when I opened Outlook, I get this error  message:      CRM does not accept my credentials either."
"1163243","please add q.sun in the local administrators group of nycws-psd2"
"1158761","vpn not working"
"1146849","Please assist our consultant, Dawn Clark, to get access to ffsmq2200.  She is using Tribridge_CRM account.  Please contact her tomorrow (she is one hour later than NYC time).        Her contact information is:   Office: 214.239.1191 x 4468 Mobile: 214.418.6053 Fax: 972-819-2705 Email: Dawn.Clark@tribridge.com"
"1138359","Unlock the gbsiiqa_buildadmin account"
"1138167","hp laser printer not working"
"1136163","I was getting a certificare error when logging in using ADM_CRM on ffsmq2200.  When I clicked continue, I get an account lock error.   Please unlock this account.    Also, will you please let me have access to being able to unlock this account?    Thanks for all your help.     Bet Mendoza"
"1135070","Do not close the ticket. It may have been fixed as of December 13. But I just check and I am again denied access to these drives.     In addition, I sent a note to Maged and Tom and didn’t copy GSD. Please open a ticket to correct the following: I’m trying to open a case with Concur on an issue related to the accounting file they send us. I need to be able to attach a copy of that file to the report but can’t access it any longer. My security access has been removed from the data shares on server ffnyc-52-214.      Thanks     Lou"
"1124568","Outlook issue"
"1123390","Needs to unlock GBSIIQA_BuildAdmin account"
"1123380","Needs to unlock ADM_Galaxedev1 account"
"1121100","Outlook main ribbon is missing"
"1120791","Unable to login with GBS_test"
"1119584","When I tried to login to ffsmq2200 using ADM_CRM, I got this error message:                When I clicked “Yes”, I then got an error message that the account is locked out.             Please unlock ADM_CRM account, fix the certificate error on FFSMQ2200, and allow me to be able to unlock both ADM_CRM and ADM_Sharepoint accounts.             Thanks."
"1115905","Tech support:      Please grant fftriunfo access to execute this file for FFAZU3401. Thanks.      Cheers,   Oliver"
"1115328","Bet has been attempting to perform troubleshooting with a vendor for the CRM client--however, her efforts are hampered by the compatibility settings in the browser, which are currently locked through GPO's administred by Maged Tadros."
"1112261","Hi GSD,      Please unlock the ADM_GALAXEDEV1 account has been locked out.         Many Thanks &amp; Regards,      Sathish Kumar"
"1102160","i  am unable to login ffext-52-202 /ffext-52-203 form cyber ark using adm_gbs account"
"1102112","Password reset for GBS_Test account"
"1098930","Please downgrade nycws-SAHI back  to IE9."
"1096882","Unlock GBSIIQA_BuildAdmin account"
"1096353","Request to unlock ADM_GBS account"
"1096349","Request to unlock GBSIIQA_Buildadmin"
"1095317","unlock ADM_GALAXEDEV1  account unlock"
"1093202","Needs to unlock GBSIIQAA_BUILDADMIN"
"1093188","While accessing Webex, prompting to download an addin"
"1092820","Needs to unlock ADM_GBS account"
"1084358","Please reset password for   codered@fordfound.org    and let Chris Roberts know..               Regards,         Bet   ♥"
"1082696","ADM_Galaxedev1 account is disabled in cyber ark.                  Past three weeks, I didn’t face this issue."
"1080891","black screen"
"1078745","Kevin dropped off his laptop to have the browser version upgraded to IE9, as opposed to the installation of IE8 which is currently installed."
"1078725","Dear GSD,     I am not able to remote access into the student machines downstairs as myself. So I tried to use the student ids and passwords you provided, but I get the following error:       FYI, I am still able to remote in using the accounts from the CRM testing. For example using student16 to log into nycws-Student06, but then when I log in I get this error:"
"1075539","unable to send emails to external domain"
"1074213","We are unable to run the exe file in FFnyc-52-220 machine.                  Please address immediately."
"1073122","ADM_GBS can not run iisreset on ffazu0220  WHEN ADM_GBS RUN IISRESET ,  SYSTEM THROW EXCEPTION 'ACCESS  DENIED'"
"1068943","Please unlock the GBSiiqa_buildadmin account ."
"1062896","Missing emails in Outlook"
"1059690","A_CRM is an account that is being used in CRM by ClickDimensions (CD).  This morning, I was able to send emails using ClickDimensions.  This afternoon, some CD functionalities were no longer available.  Troubleshooting with CD support revealed intermittent communications failure.  They asked me to log into CRM using the A_CRM account.  When I try to log into https:\\  crm.fordfound.org    and use A_CRM credentials, I get this error message (the user name and password is incorrect).               &lt;image004.jpg&gt;               ClickDimensions believe that the password for the account has changed.  It is the same password that is in epv.  Please let me know how if the password has changed.               As to the intermittent communications problem with ClickDimensions, please find attached a detailed error message.  I can act as conduit between the Infrastructure team and ClickDimensions to resolve this."
"1059591","I am using A_CRM account to connect to FFSMQ2200, and got this error:"
"1055032","Call from GalaxeSolutions to unlock the account - GBSIIQA_BuildAdmin"
"1045538","GBS Application is not working on my Internet Explorer."
"1044986","Dear GSD,     I’m requesting that all of the machines in the Level B training room be set up so that       1.            IE9 is installed and NOT in compatibility mode,       2.            The latest Firefox is installed.      Please let me know if you need any other information."
"1042213","Modifying the compatibility view settings in IE9"
"1041186","Unable to login  to "Galaxedev6" account"
"1039965","Compatability issue"
"1039931","Password reset call from kavitha."
"1035364","Unable to log in to Galaxeqa8"
"1032999","unable to connect to server from home"
"1032871","Unable to reset my password as its saying the credentials were not valid."
"1032490","Galaxedev1    account is not working, please do needful immediately."
"1027659","Unable to connect to machine"
"1024193","Request from Galaxe Solutions to unlock the account GBSIIQA_BuildAdmin."
"1023448","Hi,    This is urgent.  Users are experience slowness on GBS and the CPU on GBS Application Server (ffnyc-52-535) is always on/above 80% CPU usage.  Please check."
"1023357","Hi,            When I try to TDP to ffsmq0322 using Cyber Ark, it always gives error below.  Please check, connecting to other servers works fine."
"1019047","GBSIIQA_Buildadmin is locked out."
"1016646","Adriana tried to access the dev  environment and got the message below."
"1016351","Needs to unlock GBSIIQA_BUILDADMIN account"
"1013996","Needs to down grade IE 11 to IE 9"
"1013944","I am getting below error when I try to connect to “ffsmq0334  “ server using token(attached screenshot).   After this error it gives user disconnected and the log off  screen from the server comes automatically. I am not able to go to the server."
"1013701","Needs to unlock his account"
"1013610","FordNet Dev environment is down.  I can access the application server (ffnyc3235) but cannot access the DB server (ffnyc3355).   Attached-Application Server error (just trying to get in through IE).  I can ping the server (ffnyc3235).      Attached-Error message when I try to connect to the DB server (ffnyc3355)."
"1011808","Hi Helpdesk     Please look at Issues on ffnyc-52-229:     1.          system event is corrupt     2.          unable to browse any website     3.          parity blocked our .dll under our iis.        Thanks."
"1003655","Needs to downgrade IE 11 to IE 9"
"1003340","Unlock  gbsiiqa_buildadmin account"
"1003208","AD account locked out"
"1001813","Henry's desktop was one of those that received the install of IE11 as part of Windows Updates patching this morning."
"1001806","Henry called to report that his desktop is stuck on a black screen following a reboot."
"1000907","Getting Security warning for the login to workstation that Trust relationship to the server is failed."
"997011","Mwatch not working on my laptop"
"995889","issue while creating meeting request"
"995834","User requested to unlock GBSIIQA_Buildadmin"
"995530","AD account locked out"
"993607","AD Account locked out."
"988938","PC not recognizing additional RAM"
"988200","One of the consultants is attempting to login to perform the last few changes for the integration and getting the attached error on the VPN. Please let me know if someone can help troubleshoot."
"987927","GBSIIQA_BuildAdmin  is locked and need to unlock it."
"986618","Activating license key was failed when I was installing Metalogix ContentMatrix application on Server “ffnyc3235”. However, the same license key was activated on desktop installation without any problem. I just wonder if it is possible the license key activation was blocked on the server. Please verify and help. Thanks"
"986264","User reported that everytime he opens FordNet or IE it prompts for User credentials."
"985537","My phone (212-573-4853) is not working today. It shows Ethernet Disconnected.  This happen last time on Jan 7 (Ticket ID 942431).      Please take the necessary action ASAP."
"983073","The Canon printer on the 2nd floor, 43rd street side is Jammed.  This is an on-going problem, affecting our work."
"982760","Request from galaxe solutions to unlock the account GBSIIQA_BuildAdmin."
"979821","Request from Galaxe Solutions to Unlock the account GBSIIQA_BuildAdmin."
"969942","GBSIIQA_Buildadmin account locked out"
"968790","Request from Ashok to Unlock account GBSIIQA_BuildAdmin."
"964530","2nd floor, 43rd street side printer is not working and shows multiple errors."
"964171","unable to send 1 particular out from Blackberry handheld device"
"962914","Hi GD,      We are unable to login Cisco Any Connect VPN for galaxeqa1,galaxeqa2 and galaxeqa8 username when we try to login it says “login error”.        Thanks,   Priyadarshi"
"962776","Hi,      I am (galaxedev2) not able to connect ford VPN using cisco any connect. Getting “Login error”.      Please do the needful as soon as possible.        Thanks and Regards,   Lijojose."
"957962","Request to unlock the account GBSIIQA_BuildAdmin."
"957815","Hi,      I am (galaxedev2) not able to connect ford VPN using cisco any connect. Getting following error:      Please do the needful.      Thanks and Regards,   Lijojose."
"952976","I cannot access ffsmq0401 and ffsmq0402 via Remote Desktop Connection. Kindly advise.      Cheers,   Oliver"
"952960","When trying to connect to a CRM server using ADM_CRM account, it says that the account is locked.       Bet Mendoza    Program Systems Development"
"952684","Lou lost connectivity to server FFNYC-52-320 unexpectedly and wanted to investigate the matter--as the server was inaccessible at the time of his call."
"952462","Subject: High Priority - Consultant cannot use RSA token to be able to connect Importance: High    Please assist our consultant  to be able to connect to our CRM servers.  This is high priority, as she needs to do the work today.    She is using the D.Aronson credentials (see attached).I can act as middleman.         From:    Dawn Clark [ mailto:Dawn.Clark@tribridge.com ]   Sent:  Friday, January 10, 2014 11:18 AM  To:  Mendoza, Bet; Suzanne Devlin  Cc:  Zhao, Shuyuan  Subject:  RE: Integration Update (web-to-case)              This happens when I attempt to activate the RSA token. I believe this RSA key file was intended for Suzanne’s laptop device only."
"947914","test.  Please ignore."
"947679","User wants to unlock GBSIIQA_BUILDADMIN account"
"945510","HI GSD,       I am having problem accessing cyber ark."
"943036","Not connected to internet."
"942560","Hello,      I just realized that my mobile number is out of service. I was unable to receive calls and emails this past few days. I can only receive emails when connected to the office Wi-Fi network. When trying to make a call, the operator is asking for a credit card. Is there a reason for this?   Cheers,   Oliver"
"942431","My phone (212-573-4853) is not working. It is showing Ethernet disconnected. Please check ASAP."
"942343","User account got locked and requested to unlock it."
"942232","Needs to unlock gbsiiqa_buildadmin account"
"935280","Hello GSD,      I am getting below error when I try to open the time card in the Java version. When I click cancel , it pops up again. Need assistance."
"931082","ADM_GBS account locked out."
"931081","AD account "GBSIIQA_BuildAdmin" locked out"
"930920","Hi Helpdesk,  Ffnyc-52-220 is down, please help.  Thanks,  Qinghua"
"929695","We are unable to access  \\ffnyc-52-229\E$\easyuploaddonotuse , we need publish the new version of easyupload application.   Please see the attached."
"929624","It was working fine earlier from last week onwards we are facing the logon problem using JumpServer.                 galaxeqa1,         galaxeqa2,         galaxeqa8,          psdappqa,          student10,         student11,         student12,          student13,          student14,          student15,          student16,         student17,         student18,         student19,         student20"
"929235","i can access this computer by local user administrator/320E43rd only, please help.   this computer belongs to fordfound.ext, it's our dev machine.    Please check nycit5399ve0243.fordfound.ext also."
"922841","I am unable to rdp to these pcs, can you please check  ？        NYCWS-PSD         NYCWS-PSD2         NYCWS-PSD3"
"921421","Request from GalaxeSolutions to unlock account GBSIIQA_BuildAdmin."
"909101","Members in GBSIIProd_Admin distribution list disappeared"
"892167","AD account locked"
"891700","when I enter my credentials in outlook, it prompts me again"
"890761","I'm getting account locked out message and unable to unlock using "MyPassword" link."
"887751","Hi GSD,   I am having issue login to Cyber Ark. Not sure if my account is locked or I forgot my pin. Please do the needful ...See the attached error screenshot"
"884696","The office applications generally take long time to response, e.g. it took almost a minute to open a locally saved word document.  Also every time it asks if I want to save the changed normal.dot, although I did not change anything on it."
"884562","If some changes are made in Outlook calender on his workstation it is not reflecting on his iPhone 4S."
"884014","Hi Team,                 Please unlock the “gbsiiqa_buildadmin” account, it has been locked.           It’s very urgent.                 Many Thanks &amp; Regards,         Sathish Kumar"
"870052","I tried both   k.zhao@fordfoundation.org   and   k.zhao@fordfound.org    with my domain password, it always give me “authentication error” message              regards,                 Kevin Zhao @  FORD FOUNDATION"
"865765","Got a call from Sathish Kumar to unlock AD account GBSIIQA_BuildAdmin."
"863864","Unlock fftriunfo account."
"863431","Hi,               Please unlock the GBSIIQA_buildadmin account            Regards, Kevin Zhao @ FORDFOUNDATION"
"856023","Unable to install the particular application"
"855918","Laptop was dropped off for updates."
"850534","While working in Outlook, and no other application is open, I keep getting locked.  When I get this dialog box, I have to use MyPassword to unlock my account."
"848533","Needs to unlock gbsiiqa_builtadmin account"
"847267","please fix this ASAP.Attached the scrrenshot with this ticket."
"841556",""gbsiiqa_buildadmin" account has been locked out. Please unlock. Whenever we have logoff the cyber Ark connection and disconnect FF VPN connection, in this case gbsiiqa_buildadmin account automatically getting locked so unable to login again. this issue happening from yesterday onwards."
"826593","I logged into the Training Room workstation (nycws3508-0243) and tried to open OUtlook.  I got the error (see attached).        Before the security rollout, I am able to use Outlook from this workstation.        Please fix so that I can use Outlook again from this workstation."
"823410","In the PSD3 machine for the Student10 user not able to see the  Add-In tab in the outlook. It shows error for the Add-In Easy Upload during the loading as indicated in the below screenshot."
"799722","Request to reset password of "Accounting" mailbox      Global Service Desk, please assign this to Maged.     Maged, please reset at noon tomorrow so we have minimal interruptions if any.     Regards,  Kavitha"
"798347","Symantec still block easyupload  at nycws-psd2 today, can you look at why?    Thanks,    Qinghua"
"1520157","Please make sure these service accounts are not locked and have sufficient permissions to run the windows batch job.                  ·               GBSIIQA_BatchProcess@fordfound.org       ·               GBSII_QADocHandlingService@fordfound.org                  Note:            Please inform this to windows team, our email firewall won’t allow to sent an emails to mindtree.com"
"1519007","Kindly allow sending SMTP emails from FFAZU3401 (10.4.2.9) to smtp.fordfound.org. Thanks."
"1516608","To optimize Sharepoint/FordNet performance, we are requesting the following:      1)        On FFNYC0355 (Sharepoint Production SQL server)   a.         Move the page file to a different disk partition.  Please set the page file to 1.5x RAM.   b.        Set SQL threshold limit to 12GB (if you want the application team to do this, just let us know).   2)        FFNYC0550 (Sharepoint Production Application server):   Increase C:\ drive to have a free space of more than twice RAM (at least 32GB free space is needed).  Please allow space for future system files that usually get loaded every upgrade/patch."
"1514846","Relax Bit9 on CRM QA server (ffsmq2200)"
"1514728","Add Galaxedev1 account to the FF NYC DB Admins AD group. Since GSD doesn't have the access to do it. Hence asssigning to windows team."
"1514157","Please relax the Parity9 security level in order to run all the * .bat scripts on the FFSMQ0503.   These scripts are scheduled and related to the Ontology Server Backup."
"1508106","allow dynamics.exe               This is for machine ffazu3401"
